#declaration;detail;key;detail;readable;writable;details;sens du mvt;recolte;revendique;lies et bourbe restriction;CVO;Douane type;lien avec XML Douane;taxable douane
declaration;details;stocks_debut;initial;1;0;;0;0;0;0;0;STOCK;;0
declaration;details;stocks_debut;instance;1;0;;0;0;0;0;0;STOCK;;0
declaration;details;entrees;recolte;1;1;;1;1;1;1;0;SUSPENDU;entrees-periode/volume-produit;0
declaration;details;entrees;achatnoncrd;1;1;;1;1;1;0;0;SUSPENDU;entrees-periode/volume-produit;0
declaration;details;entrees;retourmarchandisetaxees;1;1;;1;1;1;0;1;SUSPENDU;entrees-periode/replacement-suspension;1
declaration;details;entrees;retourmarchandisenontaxees;1;1;;1;1;1;0;1;SUSPENDU;entrees-periode/achats-reintegrations;0
declaration;details;entrees;retourembouteillage;1;1;;1;1;1;0;0;SUSPENDU;entrees-periode/mouvements-temporaires/embouteillage;0
declaration;details;entrees;retourrelogement;1;1;;1;1;1;0;0;SUSPENDU;entrees-periode/mouvements-temporaires/relogement;0
declaration;details;entrees;retourtravailafacon;1;1;;1;1;1;0;0;SUSPENDU;entrees-periode/mouvements-temporaires/travail-a-facon;0
declaration;details;entrees;repli;1;1;;1;1;1;0;0;SUSPENDU;entrees-periode/mouvements-internes/replis-declassement-transfert-changement-appellation;0
declaration;details;entrees;manipulations;1;1;;1;1;1;0;0;SUSPENDU;entrees-periode/mouvements-internes/manipulations;0
declaration;details;entrees;excedent;1;1;;1;1;1;0;1;SUSPENDU;entrees-periode/autres-entrees;0
declaration;details;sorties;ventefrancecrd;1;1;;-1;1;1;0;1;SUSPENDU;sorties-periode/sorties-avec-paiement-droits;1
declaration;details;sorties;exporttaxe;1;1;EXPORT;-1;1;1;0;1;SUSPENDU;sorties-periode/sorties-avec-paiement-droits;1
declaration;details;sorties;exoutilisateurautorise;1;1;;-1;1;1;0;0;SUSPENDU;sorties-periode/sorties-sans-paiement-droits/autres-sorties;0
declaration;details;sorties;lies;1;1;;-1;1;1;1;0;SUSPENDU;sorties-periode/sorties-sans-paiement/sorties-definitivess;0
declaration;details;sorties;export;1;1;EXPORT;-1;1;1;0;1;SUSPENDU;sorties-periode/sorties-sans-paiement-droits/sorties-definitives;0
declaration;details;sorties;vrac;1;1;VRAC;-1;1;1;1;0;SUSPENDU;sorties-periode/sorties-sans-paiement-droits/sorties-definitives;0
declaration;details;sorties;consommationfamilialedegustation;1;1;;-1;1;1;0;0;SUSPENDU;sorties-periode/sorties-sans-paiement-droits/consomation-familiale-degustation;0
declaration;details;sorties;destructionperte;1;1;;-1;1;1;0;0;SUSPENDU;sorties-periode/sorties-sans-paiement-droits/autres-sorties;0
declaration;details;sorties;embouteillage;1;1;;-1;1;1;0;0;SUSPENDU;sorties-periode/sorties-sans-paiement-droits/mouvements-temporaires/embouteillage;0
declaration;details;sorties;relogement;1;1;;-1;1;1;0;0;SUSPENDU;sorties-periode/sorties-sans-paiement-droits/mouvements-temporaires/relogement;0
declaration;details;sorties;travailafacon;1;1;;-1;1;1;0;0;SUSPENDU;sorties-periode/sorties-sans-paiement-droits/mouvements-temporaires/travail-a-facon;0
declaration;details;sorties;repli;1;1;;-1;1;1;0;0;SUSPENDU;sorties-periode/sorties-sans-paiement-droits/mouvements-internes/replis-declassement-transfert-changement-appellation;0
declaration;details;sorties;autresinternes;1;1;;-1;1;1;0;0;SUSPENDU;sorties-periode/sorties-sans-paiement-droits/mouvements-internes/autres-mouvements-internes;0
declaration;details;stocks_fin;final;1;0;;0;0;0;0;0;STOCK;;0
declaration;details;stocks_fin;instance;1;0;;0;0;0;0;0;STOCK;;0
declaration;detailsACQUITTE;stocks_debut;initial;1;0;;0;0;0;0;0;STOCK;;0
declaration;detailsACQUITTE;stocks_debut;instance;1;0;;0;0;0;0;0;STOCK;;0
declaration;detailsACQUITTE;entrees;achat;1;1;;1;1;1;0;0;ACQUITTE;entrees-periode/volume-produit;0
declaration;detailsACQUITTE;entrees;reintegration;1;1;;1;1;1;0;0;ACQUITTE;entrees-periode/volume-produit;0
declaration;detailsACQUITTE;sorties;ventefrancecrd;1;1;;-1;1;1;0;0;ACQUITTE;sorties-periode/sorties-avec-paiement-droits;0
declaration;detailsACQUITTE;sorties;export;1;1;EXPORT;-1;1;1;0;0;ACQUITTE;sorties-periode/sorties-sans-paiement-droits;0
declaration;detailsACQUITTE;sorties;consommationfamilialedegustation;1;1;;-1;1;1;0;0;ACQUITTE;sorties-periode/sorties-sans-paiement-droits/consomation-familiale-degustation;0
declaration;detailsACQUITTE;sorties;destructionperte;1;1;;-1;1;1;0;0;ACQUITTE;sorties-periode/sorties-sans-paiement-droits/autres-sorties;0
declaration;detailsACQUITTE;stocks_fin;final;1;0;;0;0;0;0;0;STOCK;;0
declaration;detailsACQUITTE;stocks_fin;instance;1;0;;0;0;0;0;0;STOCK;;0
